dteday,temp,hum,windspeed,cnt
2011-03-20,0.3325,0.47375,0.207721,2471
2012-07-15,0.745833,0.717917,0.166667,6031
2011-11-17,0.341667,0.575833,0.305362,3053
2011-09-21,0.595,0.9,0.0964042,4352
2011-05-05,0.459167,0.444167,0.295392,4433
2011-06-24,0.724167,0.573333,0.222025,4991
2012-12-20,0.33,0.667917,0.132463,4128
2011-05-19,0.530833,0.829583,0.108213,4575
2012-05-29,0.7225,0.684583,0.2954,5743
2012-02-20,0.28,0.507826,0.229083,3129
2011-06-27,0.6825,0.658333,0.107588,4708
2011-07-13,0.746667,0.631667,0.146133,4342
2012-07-31,0.713333,0.704167,0.165425,7216
2011-06-30,0.696667,0.434167,0.185312,5515
2012-09-01,0.753333,0.638333,0.113187,6140
2012-04-08,0.5,0.275833,0.232596,5169
2012-08-30,0.706667,0.590417,0.0771167,7713
2012-07-27,0.781667,0.594583,0.152992,6904
2012-05-24,0.655,0.716667,0.172896,6770
2012-02-01,0.469167,0.507917,0.189067,4579
2012-12-26,0.243333,0.823333,0.316546,441
2012-11-04,0.325833,0.532917,0.179108,5107
2011-07-05,0.746667,0.590417,0.126258,4665
2011-03-06,0.376522,0.948261,0.343287,605
2012-06-11,0.720833,0.587917,0.207713,6664
2011-06-02,0.715,0.305,0.292287,4968
2012-01-28,0.315833,0.543333,0.210829,4023
2011-07-07,0.75,0.65125,0.1592,4592
2011-01-16,0.231667,0.48375,0.188433,1204
2011-08-01,0.771667,0.550833,0.156717,4266
2011-07-27,0.775,0.402917,0.183463,4656
2011-12-02,0.314167,0.625833,0.100754,3940
2012-07-17,0.818333,0.505833,0.114429,6786
2012-11-03,0.343333,0.49125,0.270529,5138
2012-12-15,0.324167,0.650417,0.10635,5047
2011-09-13,0.650833,0.7125,0.141804,4763
2012-10-28,0.4775,0.694583,0.398008,4459
2011-07-20,0.768333,0.707083,0.113817,4332
2011-01-14,0.16087,0.537826,0.126548,1421
2012-08-05,0.769167,0.6525,0.290421,5464
2011-01-25,0.223478,0.616957,0.129796,1985
2011-01-17,0.175833,0.5375,0.194017,1000
2011-11-18,0.274167,0.41,0.168533,3392
2012-08-08,0.75,0.672917,0.1107,7534
2012-11-06,0.280833,0.567083,0.173513,5686
2012-10-21,0.464167,0.51,0.166054,6824
2012-12-12,0.2975,0.538333,0.162937,5319
2012-02-11,0.224167,0.73125,0.289796,2169
2011-01-06,0.204348,0.518261,0.0895652,1606
2011-08-30,0.639167,0.548333,0.125008,5204
2011-04-03,0.378333,0.48,0.182213,3249
2011-07-10,0.7475,0.578333,0.183471,4881
2011-05-30,0.733333,0.685,0.131225,4098
2012-12-06,0.255833,0.50875,0.174754,5375
2012-03-27,0.323333,0.29,0.187192,5102
2011-09-12,0.644348,0.692174,0.088913,4713
2011-02-09,0.134783,0.494783,0.188839,1605
2012-08-09,0.755833,0.620417,0.1561,7286
2011-02-28,0.407273,0.876364,0.289686,1446
2011-04-12,0.5025,0.739167,0.274879,2034
2011-07-29,0.838333,0.5425,0.174138,3846
2011-08-02,0.783333,0.49125,0.20585,4845
2012-11-01,0.365833,0.581667,0.157346,5986
2012-10-20,0.484167,0.572917,0.117537,8090
2012-02-07,0.354167,0.49625,0.147379,4375
2011-11-07,0.395,0.75875,0.057225,4035
2012-08-11,0.6925,0.732917,0.206479,6299
2012-05-05,0.621667,0.756667,0.152992,6883
2012-03-02,0.353333,0.657083,0.144904,3194
2012-03-26,0.445833,0.477917,0.386821,5558
2012-08-29,0.685,0.552083,0.112562,7697
2012-11-17,0.325,0.545417,0.179729,5629
2011-01-29,0.196522,0.651739,0.145365,1098
2011-11-09,0.4,0.758333,0.0621958,4109
2011-12-20,0.385833,0.595417,0.0615708,3750
2011-03-28,0.264348,0.302174,0.212204,2028
2011-09-23,0.609167,0.9725,0.0783667,2395
2012-01-17,0.373043,0.716087,0.34913,2935
2012-07-08,0.8225,0.57375,0.125629,4672
2012-04-02,0.433913,0.504348,0.312139,5936
2012-04-25,0.476667,0.427917,0.118792,6196
2012-03-03,0.414167,0.62125,0.161079,4066
2011-07-12,0.794167,0.559167,0.200254,4258
2011-01-03,0.196364,0.437273,0.248309,1349
2011-03-16,0.365217,0.776522,0.203117,2192
2011-04-11,0.595652,0.716956,0.324474,3348
2012-12-21,0.326667,0.556667,0.374383,3623
2012-02-09,0.265,0.562083,0.194037,3830
2012-04-16,0.664167,0.561667,0.284829,6370
2012-11-22,0.34,0.580417,0.0528708,2425
2011-09-20,0.561667,0.88125,0.134954,3641
2011-04-16,0.430833,0.888333,0.340808,795
2012-06-28,0.749167,0.4225,0.17165,6879
2011-10-29,0.254167,0.8825,0.351371,627
2012-07-29,0.721667,0.62375,0.170396,6597
2011-01-09,0.138333,0.434167,0.36195,822
2011-08-20,0.6975,0.674167,0.104467,5191
2011-10-22,0.4225,0.629167,0.0926667,4308
2012-03-15,0.5575,0.579583,0.149883,6192
2011-03-30,0.3,0.646667,0.172888,1536
2012-10-19,0.563333,0.815,0.134954,5424
2012-08-12,0.700833,0.530417,0.122512,6544
2011-12-22,0.423333,0.7575,0.047275,3068
2011-12-28,0.29913,0.503913,0.293961,2302
2011-01-11,0.169091,0.686364,0.122132,1263
2012-06-16,0.631667,0.504167,0.166667,7702
2011-05-24,0.66,0.740833,0.207092,4492
2011-02-12,0.2225,0.544167,0.203367,1472
2011-11-13,0.440833,0.458333,0.281721,3717
2012-01-16,0.19,0.5225,0.231358,2298
2011-02-06,0.285833,0.568333,0.1418,1623
2011-09-24,0.606667,0.8625,0.0783833,5423
2011-01-10,0.150833,0.482917,0.223267,1321
2011-07-18,0.746667,0.65125,0.215804,4458
2011-12-04,0.330833,0.775833,0.0839583,3485
2012-12-04,0.475833,0.73375,0.174129,6606
2011-09-14,0.673333,0.697083,0.1673,4785
2011-05-31,0.775,0.636667,0.111329,3982
2011-11-25,0.375,0.64375,0.0988958,2792
2012-05-31,0.68,0.492917,0.195279,7338
2012-07-01,0.815833,0.51875,0.168529,5531
2012-08-10,0.715833,0.715833,0.238813,5786
2011-11-24,0.373333,0.549167,0.167304,1495
2012-04-05,0.435,0.374167,0.219529,6457
2011-12-14,0.3175,0.66375,0.0609583,3740
2012-12-13,0.295833,0.485833,0.174129,5532
2011-02-03,0.186957,0.437826,0.277752,1550
2011-04-26,0.631667,0.729167,0.3265,4400
2012-01-31,0.39,0.416667,0.261817,4509
2011-02-10,0.144348,0.437391,0.221935,1538
2012-01-13,0.274167,0.5075,0.378108,3214
2012-03-11,0.361739,0.476957,0.222587,4911
2012-04-19,0.498333,0.6125,0.0659292,6565
2012-05-13,0.6125,0.57625,0.225117,6118
2012-04-28,0.376667,0.489583,0.129975,4220
2012-01-11,0.274167,0.8475,0.131221,2177
2011-09-26,0.649167,0.848333,0.1107,4630
2012-02-22,0.395833,0.567917,0.234471,4773
2012-03-31,0.424167,0.738333,0.250617,6235
2012-06-08,0.649167,0.467917,0.175383,7736
2011-03-05,0.384167,0.789167,0.251871,2077
2012-05-07,0.5375,0.664167,0.230721,6273
2011-04-29,0.51,0.457083,0.240063,4595
2011-05-13,0.5125,0.863333,0.179725,4105
2011-02-15,0.266087,0.314348,0.291374,1815
2011-02-26,0.2825,0.537917,0.186571,1969
2012-08-06,0.7525,0.654167,0.129354,7013
2012-05-23,0.621667,0.774583,0.102,5260
2012-10-26,0.545833,0.807083,0.132467,7444
2011-06-14,0.604167,0.507083,0.269283,4891
2012-01-22,0.1625,0.79625,0.199638,1977
2011-10-08,0.521667,0.70125,0.0454042,5409
2012-02-16,0.316667,0.752917,0.091425,3005
2011-09-05,0.673333,0.790417,0.212696,3351
2011-08-26,0.7,0.76125,0.0839625,4661
2012-07-21,0.595833,0.865417,0.2133,4459
2011-04-17,0.456667,0.479583,0.303496,3744
2012-10-09,0.446667,0.761667,0.1903,6392
2011-11-12,0.356667,0.552917,0.212062,4067
2012-04-13,0.4425,0.408333,0.155471,6398
2012-03-22,0.554167,0.83125,0.117562,6871
2011-03-04,0.261667,0.610417,0.203346,1944
2011-08-31,0.656667,0.597917,0.0833333,5058
2012-12-01,0.298333,0.806667,0.0597042,5191
2012-01-14,0.18,0.4575,0.187183,2493
2012-05-06,0.5625,0.74,0.149879,6359
2012-07-04,0.789167,0.53875,0.13495,7403
2011-08-04,0.71,0.7575,0.19715,4576
2012-06-18,0.568333,0.777917,0.174746,5099
2011-01-24,0.0973913,0.491739,0.15833,1416
2012-04-11,0.348696,0.469565,0.295274,4862
2011-06-08,0.775833,0.622083,0.136817,4401
2011-06-12,0.6925,0.747917,0.163567,4460
2011-08-10,0.766667,0.424167,0.200258,4780
2012-12-07,0.320833,0.764167,0.1306,5008
2012-10-14,0.521667,0.640417,0.278612,6639
2011-11-05,0.326667,0.519167,0.189062,3926
2012-03-01,0.485833,0.615417,0.226987,4990
2011-02-13,0.316522,0.457391,0.260883,1589
2012-09-29,0.5425,0.542917,0.227604,8555
2012-04-06,0.403333,0.377083,0.300388,6460
2011-12-17,0.258333,0.560833,0.243167,2739
2011-06-22,0.733333,0.7075,0.172262,4507
2012-09-24,0.514167,0.492917,0.142404,7436
2012-04-22,0.396667,0.835417,0.344546,1027
2011-04-30,0.4725,0.503333,0.235075,5312
2011-11-22,0.416667,0.9625,0.118792,1607
2012-10-10,0.514167,0.630833,0.187821,7691
2012-03-20,0.560833,0.807917,0.121271,6093
2011-05-29,0.6675,0.81875,0.213938,4788
2011-08-16,0.700833,0.578333,0.236329,4725
2011-12-21,0.428333,0.858333,0.2214,2660
2012-12-31,0.215833,0.5775,0.154846,2729
2011-07-17,0.719167,0.604167,0.245033,5302
2011-08-28,0.707059,0.561765,0.304659,4334
2011-05-21,0.6025,0.626667,0.12065,5805
2011-10-21,0.4275,0.574167,0.221396,4304
2011-03-19,0.4725,0.379167,0.368167,3117
2012-01-04,0.1075,0.414583,0.1847,2368
2011-11-04,0.403333,0.6225,0.271779,4046
2012-11-15,0.321667,0.620417,0.152987,5445
2011-07-11,0.7625,0.635833,0.282337,4086
2012-05-14,0.573333,0.789583,0.212692,2843
2012-03-16,0.435833,0.842083,0.113192,4378
2012-09-21,0.599167,0.66875,0.154229,8167
2011-10-31,0.34,0.703333,0.10635,3669
2011-02-19,0.399167,0.187917,0.507463,1635
2012-06-15,0.639167,0.589583,0.176617,7665
2012-10-04,0.6575,0.722917,0.117546,7328
2011-11-08,0.408333,0.721667,0.0690375,4205
2012-07-26,0.776667,0.596667,0.284813,6861
2012-12-08,0.381667,0.91125,0.101379,5582
2011-10-23,0.421667,0.74125,0.0995125,4381
2012-02-02,0.399167,0.672917,0.187187,3761
2012-06-21,0.805833,0.567917,0.118787,5905
2011-10-25,0.471667,0.622917,0.166658,4687
2011-05-10,0.5325,0.489167,0.115671,4803
2012-02-12,0.1275,0.464583,0.409212,1529
2012-10-31,0.3575,0.666667,0.166667,5566
2012-05-28,0.7125,0.67625,0.196521,6043
2012-09-23,0.529167,0.467083,0.223258,7907
2011-09-22,0.628333,0.902083,0.128125,4795
2012-09-16,0.58,0.57,0.0901833,7333
2012-11-26,0.313333,0.535417,0.04665,5087
2012-04-03,0.466667,0.396667,0.100133,6772
2011-10-18,0.5325,0.701667,0.110087,4748
2011-01-18,0.216667,0.861667,0.146775,683
2011-04-21,0.459167,0.407083,0.325258,4189
2012-05-03,0.56,0.768333,0.133696,6421
2012-04-21,0.57,0.682917,0.283587,6624
2011-06-21,0.680833,0.770417,0.171025,4835
